,USERID,PID,RATING
1,1815,B00I77DTEC,1
3,1341,B00I77DTEC,5
5,2208,B00I77DTEC,3
7,1899,B00I77DTEC,5
9,625,B00I77DTEC,5
11,1868,B00I77DTEC,5
13,2561,B00I77DTEC,5
15,2284,B00I77DTEC,5
17,2284,B00I77DTEC,5
19,1677,B07Q2VBPDH,5
21,2315,B07Q2VBPDH,5
23,2807,B07Q2VBPDH,5
25,1626,B07Q2VBPDH,5
27,2031,B07Q2VBPDH,3
29,3133,B07Q2VBPDH,5
31,1527,B07Q2VBPDH,5
33,1606,B07Q2VBPDH,3
35,1606,B07Q2VBPDH,3
37,2794,B07QJ1CJ22,3
39,2439,B07QJ1CJ22,5
41,988,B07QJ1CJ22,5
43,3121,B07QJ1CJ22,4
45,2292,B07QJ1CJ22,5
47,913,B07QJ1CJ22,5
49,913,B07QJ1CJ22,5
51,2162,B07QTQC7TY,3
53,1926,B07QTQC7TY,5
55,2467,B07QTQC7TY,5
57,154,B07QTQC7TY,4
59,1654,B07QTQC7TY,5
61,1555,B07QTQC7TY,4
63,514,B07QTQC7TY,4
65,3054,B07QTQC7TY,1
67,3054,B07QTQC7TY,1
69,3009,B07DPLQR9Y,4
71,2150,B07DPLQR9Y,3
73,2219,B07DPLQR9Y,4
75,2403,B07DPLQR9Y,5
77,2168,B07DPLQR9Y,5
79,2662,B07DPLQR9Y,5
81,1033,B07DPLQR9Y,3
83,377,B07DPLQR9Y,5
85,377,B07DPLQR9Y,5
87,3092,B07QXB7XW8,4
89,1789,B07QXB7XW8,5
91,558,B07QXB7XW8,3
93,2738,B07QXB7XW8,5
95,1045,B07QXB7XW8,5
97,308,B07QXB7XW8,5
99,2184,B07QXB7XW8,4
101,2184,B07QXB7XW8,4
103,2932,B07JHWJLQR,5
105,582,B07JHWJLQR,4
107,685,B07JHWJLQR,5
109,1709,B07JHWJLQR,5
111,164,B07JHWJLQR,5
113,1974,B07JHWJLQR,5
115,2747,B07JHWJLQR,5
117,2947,B07JHWJLQR,3
119,2947,B07JHWJLQR,3
121,778,B074ND5S9D,5
123,3119,B074ND5S9D,3
125,1345,B074ND5S9D,4
127,2158,B074ND5S9D,5
129,1248,B074ND5S9D,4
131,528,B074ND5S9D,5
133,2330,B074ND5S9D,5
135,1186,B074ND5S9D,4
137,1186,B074ND5S9D,4
139,40,B07B6F76S5,3
141,314,B07B6F76S5,5
143,2247,B07B6F76S5,2
145,1708,B07B6F76S5,5
147,2158,B07B6F76S5,1
149,2494,B07B6F76S5,2
151,1290,B07B6F76S5,4
153,2188,B07B6F76S5,4
155,2188,B07B6F76S5,4
157,359,B07F275GHV,3
159,797,B07F275GHV,5
161,55,B07F275GHV,5
163,880,B07F275GHV,5
165,2267,B07F275GHV,5
167,853,B07F275GHV,5
169,660,B07F275GHV,5
171,248,B07F275GHV,5
173,248,B07F275GHV,5
175,1975,B07GDHFLGY,5
177,119,B07GDHFLGY,5
179,2917,B07GDHFLGY,5
181,1390,B07GDHFLGY,5
183,129,B07GDHFLGY,5
185,1050,B07GDHFLGY,4
187,2636,B07GDHFLGY,5
189,475,B07GDHFLGY,5
191,475,B07GDHFLGY,5
193,276,B07G3YHF79,5
195,1586,B07G3YHF79,5
197,1523,B07G3YHF79,5
199,123,B07G3YHF79,5
201,567,B07G3YHF79,5
203,1909,B07G3YHF79,5
205,1909,B07G3YHF79,5
207,1780,B004GKBQN0,5
209,534,B004GKBQN0,4
211,2398,B004GKBQN0,5
213,1081,B004GKBQN0,5
215,1589,B004GKBQN0,5
